,Customer Type,Class,Flight Distance,Seat Comfort,Inflight Wifi Service,Inflight Entertainment,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
73127,1,0,636,2,3,3,2,7,2,0
73710,1,1,1305,2,2,2,3,28,16,0
86651,1,0,1658,3,3,3,3,0,7,0
75006,1,0,1903,2,2,2,3,0,0,0
1988,1,1,1929,1,1,1,3,0,0,0
96733,1,0,900,4,5,4,4,53,93,0
47612,0,0,1853,2,1,2,5,24,13,0
90668,1,2,2628,4,2,5,4,0,0,1
26150,1,1,2538,3,5,3,1,0,29,0
573,1,0,1629,0,4,0,4,10,38,1
3677,1,0,1091,1,5,1,4,0,0,0
21746,1,0,955,2,2,5,5,0,0,1
112233,1,2,1595,2,4,4,4,6,0,1
6422,1,0,2165,1,2,1,4,0,0,0
49739,0,0,2097,2,3,3,4,0,2,0
34700,1,0,2323,4,5,4,5,0,0,0
48402,0,2,1328,2,3,2,5,17,9,0
75937,1,0,614,2,5,4,2,0,0,0
2125,1,0,2178,1,2,1,3,1,0,0
93456,1,2,1918,1,2,4,4,98,91,1
76220,1,2,3202,2,2,2,4,0,14,0
112571,1,2,2204,5,4,3,4,0,0,1
15363,1,0,1292,2,1,2,5,28,16,0
58293,0,2,1494,4,4,4,3,90,94,0
44788,0,0,1525,2,4,2,3,13,1,0
6054,1,0,1720,1,1,1,4,0,0,0
58973,0,0,2298,4,2,4,5,0,1,1
111511,1,2,1772,5,3,4,4,0,22,1
128586,1,2,1564,4,4,5,5,0,0,1
56795,0,0,1559,4,4,4,5,0,0,1
67759,1,1,2077,1,1,1,3,1,0,0
3754,1,0,2997,1,3,1,3,0,0,0
129446,1,2,2097,3,4,5,5,0,0,1
23042,1,0,2910,3,5,3,4,0,0,0
61951,0,0,1581,5,1,5,2,0,0,1
34830,1,0,565,4,5,5,5,0,0,0
40287,0,0,2223,0,3,0,3,0,0,1
122396,1,2,2217,3,5,5,4,0,0,1
91312,1,0,1693,4,4,4,3,49,42,1
120868,1,2,1457,4,3,4,5,3,4,1
48439,0,0,2570,2,4,2,3,0,0,0
43067,0,0,2561,1,3,1,3,9,2,0
101808,1,2,3288,4,3,4,4,0,9,0
80116,1,2,2677,2,4,5,3,0,0,1
29659,1,0,2129,3,3,3,3,23,24,0
59119,0,0,1277,4,2,4,2,0,0,0
88887,1,2,512,5,3,4,3,0,0,1
58128,0,0,1970,4,1,4,4,1,2,1
1865,1,2,849,1,2,3,2,0,0,0
94363,1,2,3406,2,3,4,4,34,31,1
55912,0,0,1687,3,5,3,3,0,0,0
50298,0,0,1613,2,1,3,3,0,0,0
55405,0,2,1695,3,5,3,4,18,7,0
49890,0,0,1987,2,4,1,5,0,0,0
29281,1,0,3453,3,5,3,5,16,0,0
46305,0,0,1971,2,1,2,2,0,0,0
106974,1,2,130,3,5,1,4,0,0,1
88806,1,2,1469,3,3,5,3,0,0,1
56263,0,2,1952,3,4,4,4,0,0,0
65567,1,2,1568,0,5,4,4,21,7,1
20454,1,0,3395,3,3,3,2,0,2,0
38311,1,0,1273,4,2,4,3,24,12,0
107156,1,2,1735,3,3,4,4,28,34,1
38190,1,0,1823,4,4,4,4,26,13,0
86848,1,0,2475,3,4,3,3,9,18,0
83575,1,2,1736,3,3,3,3,4,0,0
85033,1,1,421,3,4,4,3,0,0,0
105463,1,2,469,5,2,4,4,3,0,1
36658,1,0,1956,4,5,4,5,0,0,1
127976,1,2,2480,5,4,4,5,0,0,1
66804,1,0,1633,1,1,1,2,32,47,0
72434,1,2,2978,2,2,2,3,8,34,0
113886,1,2,3234,2,5,5,1,0,0,1
128191,1,2,1426,5,3,5,5,15,0,1
78112,1,0,263,2,4,4,3,34,25,0
86904,1,2,664,4,5,3,4,51,43,0
36944,1,1,2812,4,1,4,4,0,0,0
81193,1,0,1574,3,3,3,3,0,0,0
71519,1,2,2220,2,2,3,2,0,0,0
39819,1,2,2100,5,4,5,4,0,0,1
26965,1,0,1450,4,5,5,4,4,0,1
38504,1,0,288,5,3,3,5,0,0,1
12429,1,0,864,4,4,4,4,1,0,1
55942,0,0,1698,3,4,3,5,0,0,0
22685,1,0,3307,1,5,5,4,6,52,1
41648,0,0,1722,1,3,1,1,83,61,0
30130,1,0,2403,3,5,3,5,0,1,0
80522,1,0,1648,3,3,3,3,0,0,1
68940,1,2,1810,1,1,1,2,143,141,0
47383,0,2,975,2,5,2,5,0,0,0
59531,0,0,2041,4,5,4,5,0,0,1
107946,1,1,1363,4,4,4,5,1,0,1
25248,1,0,2180,3,5,3,4,0,0,0
118371,1,2,778,4,4,4,5,31,27,1
67974,1,0,408,1,3,3,1,101,108,0
33049,1,1,2195,4,3,4,5,0,0,0
67792,1,2,1798,1,1,1,4,10,6,0
112023,1,2,425,1,3,5,4,0,8,1
126522,1,2,3490,5,4,5,5,8,2,1
122063,1,2,853,1,2,5,5,15,10,1
120409,1,2,2389,5,2,4,5,0,4,1
49688,0,0,2327,2,4,2,4,0,0,0
37869,1,0,877,4,4,5,4,42,37,0
20112,1,0,3228,3,2,5,4,0,0,1
56415,0,0,1793,3,5,3,1,9,6,0
62757,0,0,2716,5,3,5,4,0,0,1
104492,1,2,2136,5,4,4,3,11,15,1
58124,0,2,1850,4,5,4,5,3,0,1
33655,1,0,1690,4,4,4,3,0,0,0
27936,1,0,1946,3,4,3,4,0,0,0
52786,0,2,1759,3,2,3,5,0,0,0
115884,1,2,483,2,3,3,5,49,45,1
6835,1,2,1081,1,5,1,2,0,0,0
39591,1,1,1796,5,3,5,3,0,0,1
48349,0,0,2224,2,2,3,4,15,0,0
87209,1,2,725,5,3,4,4,0,7,1
110973,1,2,3426,2,3,4,5,0,0,1
49227,0,0,1792,2,2,3,4,0,7,0
88854,1,2,2035,5,2,4,3,37,16,1
112098,1,2,2487,2,5,4,3,67,77,1
107750,1,2,782,3,4,4,4,0,0,1
111608,1,2,3022,2,4,5,5,0,0,1
49393,0,0,1273,2,5,2,4,0,8,0
11615,1,0,2397,2,3,2,4,0,0,0
22574,1,0,1309,3,2,0,3,0,0,0
87608,1,2,1717,1,5,5,3,27,28,1
3488,1,2,908,1,2,5,1,10,35,0
36427,1,1,1987,4,4,2,3,13,8,0
52265,0,0,2784,3,2,3,4,1,0,0
72081,1,0,1539,2,2,2,3,42,17,0
52994,0,0,2445,3,1,3,3,0,0,0
88037,1,2,1446,1,4,4,3,0,0,1
30312,1,0,1768,3,4,3,4,10,40,0
107374,1,0,2992,4,4,4,2,0,0,1
1227,1,0,1714,1,3,1,2,5,0,0
76999,1,2,2099,2,2,2,4,11,6,0
85688,1,2,2239,3,3,4,3,0,0,0
23456,1,0,1122,3,2,3,2,0,0,0
117746,1,2,2376,4,2,4,5,0,0,1
107655,1,2,858,1,1,3,4,0,0,1
52665,0,2,1626,3,3,3,4,0,0,0
80274,1,2,1428,3,4,3,3,1,0,0
46319,0,2,1145,2,5,2,5,0,0,0
94990,1,2,650,1,3,5,4,14,0,1
58167,0,2,1830,4,2,4,5,0,0,1
29983,1,0,3104,3,3,3,3,1,0,0
99722,1,2,3104,4,1,5,4,0,0,1
95586,1,2,463,5,1,4,4,0,0,1
125337,1,2,1116,5,3,4,5,0,13,1
7643,1,1,1870,3,3,4,2,5,0,1
94263,1,2,1589,2,3,5,4,8,0,1
53478,0,0,2212,3,3,3,3,0,0,0
13233,1,1,540,1,4,4,4,0,0,1
2317,1,0,2050,1,3,5,2,41,31,0
111043,1,2,793,1,5,4,5,16,51,1
11554,1,0,2109,2,5,2,4,0,0,0
43030,0,0,2012,1,4,1,4,0,0,0
73614,1,2,722,2,5,3,2,0,0,0
68750,1,2,434,1,1,4,1,0,0,0
45000,0,2,1679,2,5,2,4,19,60,0
66081,1,0,1378,1,1,1,2,0,0,0
60785,0,0,2555,4,5,4,3,0,0,0
83201,1,1,3183,3,3,3,3,0,0,0
124355,1,2,3415,3,2,4,5,17,24,1
118831,1,2,602,2,4,5,5,8,14,1
56350,0,2,1702,3,2,3,5,0,0,0
104562,1,0,312,4,1,5,4,0,0,1
57042,0,0,2167,4,3,4,4,2,68,0
106984,1,2,2164,1,5,4,4,3,5,1
28687,1,1,2290,5,5,5,4,1,18,1
37408,1,0,2468,4,4,4,4,5,0,0
126811,1,2,473,5,2,5,5,0,0,1
28709,1,0,2896,3,3,3,4,3,4,0
105436,1,2,1909,3,3,5,4,0,0,1
104349,1,2,3166,1,4,4,2,0,0,1
126502,1,2,2992,3,4,5,5,0,0,1
79454,1,2,3155,2,4,3,3,19,15,0
16150,1,0,1511,1,2,2,4,0,0,1
37207,1,0,1559,4,3,4,5,0,0,1
64783,1,0,1988,0,2,0,3,2,4,1
105452,1,2,2086,1,3,1,4,0,0,1
60840,0,2,1975,4,2,4,5,0,0,1
25184,1,0,2336,5,2,4,5,0,0,1
51321,0,0,2218,3,2,3,2,0,0,0
117321,1,2,1762,1,4,5,5,24,0,1
97338,1,2,2585,4,4,4,4,52,13,0
37691,1,0,1610,4,5,4,5,2,0,0
37843,1,2,1923,4,5,4,4,0,0,1
20000,1,2,2349,3,1,3,4,0,0,0
80352,1,2,1133,3,2,2,3,47,41,0
95440,1,2,2021,4,4,4,4,0,0,1
119090,1,2,510,3,5,5,5,27,11,1
56150,0,0,2714,3,3,3,2,58,63,0
85501,1,2,1995,3,3,3,4,0,0,0
11031,1,0,2871,4,2,4,4,49,33,1
46071,0,2,2101,2,2,2,4,2,0,0
60302,0,2,2659,4,2,4,4,0,0,0
116614,1,2,1800,3,2,5,5,0,0,1
104202,1,2,2302,1,4,4,5,14,4,1
125737,1,2,3039,2,5,5,5,0,24,1
91532,1,2,573,3,2,2,4,0,0,1
122910,1,0,2254,5,5,5,1,0,0,1
72938,1,0,906,2,1,3,2,0,0,0
30592,1,0,1261,5,3,4,5,8,0,1
25971,1,0,1983,3,5,3,5,0,9,0
126214,1,2,683,4,2,5,5,15,0,1
17491,1,0,333,2,3,3,4,15,2,1
128148,1,2,2976,1,5,5,5,52,43,1
80607,1,2,1551,3,2,3,3,44,36,0
24125,1,0,1324,3,3,0,5,0,1,0
85091,1,2,2121,3,3,3,4,6,8,0
104727,1,2,632,4,3,4,4,0,0,1
7258,1,0,3115,1,2,1,3,11,4,0
39389,1,0,2056,5,1,5,5,0,0,1
98498,1,0,1519,4,4,4,4,28,20,0
12622,1,0,2024,2,2,2,5,0,0,0
34889,1,0,353,4,1,5,5,0,0,0
42965,0,0,2510,1,3,1,4,99,83,0
56899,0,0,1667,4,3,4,5,23,19,0
122080,1,2,2325,3,5,5,4,0,0,1
18438,1,0,1932,2,2,1,5,143,148,0
20539,1,0,1839,3,5,3,3,20,14,0
20552,1,0,1845,3,4,3,1,0,0,0
125512,1,2,1888,5,4,5,5,0,0,1
2973,1,1,2300,1,5,1,4,0,0,0
65135,1,2,3309,0,5,5,5,0,0,1
103447,1,0,248,4,1,3,4,0,5,0
37511,1,1,1862,4,5,4,5,0,0,1
868,1,1,2896,1,4,1,4,0,0,0
4350,1,0,1927,1,2,1,4,0,0,0
37777,1,0,2516,4,1,4,5,5,0,0
112285,1,2,3203,3,4,5,5,0,10,1
2495,1,0,2793,5,2,5,4,0,0,1
13552,1,0,2738,2,5,2,5,0,0,0
50284,0,0,2394,2,5,3,3,28,31,0
17909,1,0,2336,2,5,2,4,50,36,0
670,1,0,2513,0,1,0,5,0,0,1
16238,1,0,206,3,3,5,4,0,0,1
85666,1,0,1307,3,3,3,1,0,0,1
65257,1,2,2022,0,3,5,3,31,27,1
10435,1,0,2392,2,5,3,2,0,0,0
62752,0,2,1425,5,4,5,5,0,0,1
84960,1,0,1214,3,3,3,4,55,55,0
63720,1,1,1379,0,5,0,5,0,0,1
17382,1,0,1701,5,5,3,4,0,0,1
44652,0,0,1238,2,2,2,4,0,0,0
48945,0,0,2297,2,1,2,4,0,5,0
47477,0,0,2013,2,5,2,5,4,21,0
126196,1,2,3141,4,2,4,5,0,0,1
2532,1,0,2506,1,1,1,2,145,138,0
118563,1,2,2589,3,5,5,5,0,2,1
81422,1,1,210,3,5,3,3,0,0,1
68030,1,2,2980,1,1,1,4,103,89,0
20123,1,0,1979,3,4,3,5,2,0,0
17839,1,0,2649,4,2,4,4,7,0,1
104151,1,2,1876,1,4,4,5,0,11,1
23239,1,0,683,5,2,4,5,3,0,1
84744,1,0,594,3,5,4,3,70,82,0
74171,1,2,2186,2,2,2,3,0,0,0
2334,1,1,1228,1,2,0,2,0,0,0
124666,1,2,2545,3,4,4,5,0,0,1
48761,0,2,2131,2,2,2,4,0,0,0
22156,1,0,2788,5,5,5,4,8,9,1
39736,1,0,2100,5,5,5,5,5,0,1
23575,1,0,1044,3,5,5,4,1,0,1
51153,0,0,2129,3,3,3,5,45,63,0
50349,0,0,2358,2,4,2,4,87,83,0
127309,1,2,1836,3,2,2,5,0,0,1
100187,1,2,1920,2,4,4,5,0,0,1
118184,1,2,1872,1,4,4,5,1,19,1
83156,1,2,482,3,5,4,3,0,0,0
13479,1,0,1786,3,3,5,4,0,0,1
22937,1,0,1522,3,4,3,2,0,0,0
45511,0,2,2182,2,4,1,4,0,0,0
5134,1,0,1289,1,1,1,5,0,0,0
73888,1,2,1816,2,2,2,4,20,16,0
52789,0,0,2553,3,2,3,4,0,0,0
4576,1,0,1702,1,4,1,3,50,42,0
41679,0,2,2042,1,4,1,2,0,0,0
16189,1,0,1832,2,2,0,5,67,76,0
29263,1,0,3334,5,5,5,1,0,0,1
58949,0,0,2623,4,3,4,3,18,29,0
5026,1,0,1730,1,3,1,2,25,0,0
42860,0,2,2479,1,1,1,3,0,1,0
66830,1,0,1418,1,1,1,4,5,0,0
60646,0,2,3133,4,5,4,4,0,0,1
32700,1,0,1194,4,4,4,4,0,0,0
101805,1,2,334,5,1,3,4,7,0,1
67269,1,0,101,1,3,3,1,9,20,0
69275,1,0,104,1,1,3,2,26,34,0
26434,1,0,495,5,2,4,5,35,12,1
5972,1,0,2318,1,3,1,5,0,0,0
52901,0,0,2299,3,4,3,2,0,0,0
56828,0,2,1124,4,5,4,4,10,0,0
66189,1,2,1441,1,4,3,1,0,0,0
95735,1,2,408,3,3,5,4,0,0,1
67936,1,1,337,1,3,4,1,0,0,0
53050,0,0,1700,3,3,3,5,0,0,0
95333,1,2,525,5,2,4,4,0,0,1
41192,0,0,1703,1,2,1,5,1,0,0
22990,1,0,1114,3,3,3,5,0,0,0
25616,1,0,1187,3,2,3,5,0,0,0
114642,1,2,1061,3,2,5,5,0,29,1
73355,1,0,341,2,1,3,2,0,2,0
60254,0,0,1896,4,1,4,4,0,6,0
14097,1,0,607,4,4,4,1,23,64,1
85357,1,0,1800,3,3,3,3,0,0,0
47092,0,0,2378,2,2,2,5,3,1,0
101133,1,1,1085,4,4,4,1,0,0,1
42833,0,2,1279,1,2,1,5,5,8,0
78922,1,2,1337,2,3,2,2,26,5,0
15836,1,0,2480,2,1,3,5,0,24,0
120278,1,2,2641,4,2,4,5,0,0,1
55361,0,0,1346,3,3,3,3,0,9,0
69122,1,0,2323,1,1,1,3,0,0,0
125902,1,2,1595,3,3,4,5,2,0,1
109426,1,2,3397,2,5,5,4,16,17,1
96377,1,2,2771,4,4,3,4,0,4,1
40520,0,0,1103,0,4,0,4,0,0,1
40352,0,0,2332,0,4,0,4,0,0,1
13320,1,0,1908,2,1,2,5,7,0,0
22281,1,0,1675,3,3,3,3,1,0,0
4625,1,1,1737,3,2,4,2,0,0,1
64271,1,2,1548,0,5,4,4,0,0,1
81018,1,2,338,3,3,3,3,23,12,0
50768,0,0,1635,3,1,3,4,1,0,0
74605,1,2,353,2,4,3,2,0,0,0
94902,1,2,3047,4,4,5,4,0,0,1
53695,0,1,1647,3,1,3,4,6,3,0
33055,1,0,2024,4,5,4,3,0,0,0
88194,1,2,781,3,5,4,3,3,16,1
70707,1,2,607,4,5,5,2,0,0,1
89693,1,2,1690,4,3,5,4,0,0,1
79090,1,0,2199,2,2,3,4,0,0,0
24671,1,0,1907,5,5,5,2,0,0,1
6260,1,0,1255,1,4,1,5,0,1,0
104394,1,0,457,4,3,5,4,0,2,1
117206,1,2,2132,2,4,5,5,0,0,1
73887,1,2,1369,2,2,2,3,74,87,0
77498,1,2,2864,1,2,5,2,2,0,1
125222,1,2,2105,2,5,5,4,0,12,1
127989,1,0,1358,5,5,5,5,0,0,1
117990,1,2,3284,5,2,5,5,0,0,1
72332,1,2,1733,4,4,4,2,20,3,1
77430,1,0,2459,2,2,2,3,0,0,0
120411,1,2,2375,3,5,4,5,2,4,1
61728,0,2,1556,5,3,5,4,61,63,1
85907,1,2,383,3,1,3,3,0,0,0
109127,1,2,212,3,5,5,4,1,2,1
50273,0,0,1479,2,1,2,1,0,0,0
96508,1,2,263,3,4,4,4,0,14,1
41473,0,2,2243,1,1,1,5,0,0,0
84464,1,2,1938,3,2,3,3,0,0,0
10319,1,0,1334,4,3,3,4,0,0,1
43678,0,0,2815,1,3,1,5,0,0,0
121352,1,2,2373,4,3,4,5,0,0,1
83972,1,0,2420,3,3,3,3,0,0,0
64124,1,2,1846,0,3,4,1,0,0,1
116168,1,2,3221,4,4,5,5,0,0,1
22819,1,0,1382,3,3,3,2,0,0,0
115763,1,2,2221,4,5,5,4,0,18,1
108825,1,0,2466,5,5,4,1,0,0,1
101892,1,0,1495,4,4,4,3,0,0,0
36137,1,0,770,4,3,4,1,0,0,1
29386,1,0,1037,5,5,5,4,0,0,1
56998,0,2,2439,4,1,4,5,0,0,1
119527,1,2,2588,1,3,3,5,27,28,1
93752,1,2,2397,4,4,5,4,59,49,1
100879,1,2,2467,3,3,5,4,0,0,1
38826,1,0,3470,5,1,5,3,0,0,1
71779,1,2,1534,2,2,3,2,0,0,0
97577,1,2,1448,1,4,5,4,0,4,1
82464,1,2,2299,3,3,3,4,0,0,0
113425,1,2,1746,4,5,5,5,0,0,1
124571,1,2,3327,2,5,4,5,0,0,1
66236,1,2,2173,1,1,1,3,0,0,0
100869,1,2,1773,4,5,3,4,1,0,0
59488,0,0,2307,4,3,4,4,29,28,1
76648,1,2,502,2,1,3,2,24,11,0
38737,1,0,781,5,3,5,4,2,6,1
6473,1,0,1574,4,4,5,3,14,8,1
95661,1,2,460,5,4,5,4,0,0,1
23471,1,0,1793,2,5,5,3,0,0,1
116353,1,2,380,2,3,4,5,0,0,1
49057,0,2,1659,2,4,2,5,0,0,0
93311,1,2,1553,2,2,4,4,18,1,1
100703,1,2,1554,4,1,2,4,63,58,0
5007,1,1,1782,1,5,1,4,0,0,0
22040,1,0,1448,3,2,3,3,0,0,0
97965,1,1,949,4,4,3,4,42,40,0
91915,1,2,1555,2,5,5,4,74,81,1
59766,0,0,2084,4,3,4,4,9,3,1
106437,1,0,2162,4,4,4,3,0,0,1
42401,0,2,2793,1,1,1,2,4,0,0
84923,1,2,2604,3,3,3,3,0,18,0
12916,1,0,2895,2,3,2,3,0,5,0
4290,1,0,958,0,4,4,5,0,0,1
95793,1,0,1953,4,4,4,1,0,0,1
114937,1,2,1761,1,3,5,5,0,0,1
107469,1,2,2600,1,4,5,4,0,0,1
39348,1,0,612,5,3,4,2,0,0,1
52535,0,0,1929,3,5,3,1,0,0,0
41236,0,0,1758,1,3,1,2,0,0,0
64378,1,2,2193,0,3,4,2,0,0,1
75458,1,2,1427,5,5,5,2,1,0,1
11084,1,0,2173,2,5,2,2,1,25,0
74798,1,0,2099,2,2,2,4,41,30,0
75790,1,0,1950,2,2,2,4,0,0,0
127805,1,2,205,4,1,5,5,4,0,1
9533,1,0,2132,2,3,2,2,0,0,0
111207,1,0,2694,3,3,5,3,3,0,1
60010,0,2,1227,4,5,4,5,0,0,1
130,1,0,1856,0,5,0,3,1,0,1
77897,1,1,358,2,5,3,3,0,0,0
84215,1,2,1811,3,3,2,3,10,15,0
61313,0,2,2548,4,4,4,4,1,0,1
73132,1,0,878,2,3,3,2,0,0,0
118570,1,2,2109,2,5,4,5,0,0,1
81311,1,0,876,3,4,3,3,24,35,0
105612,1,2,2626,3,4,5,4,6,8,1
44982,0,2,1712,2,1,2,5,1,0,0
21128,1,0,1900,1,4,4,5,0,2,1
94228,1,0,271,4,4,3,4,0,0,1
50751,0,0,1743,3,4,3,5,0,15,0
54190,0,0,1446,3,4,3,3,22,29,0
115478,1,2,1728,4,1,4,5,0,0,1
30646,1,1,1525,3,1,3,5,0,0,0
42233,0,0,2081,1,1,1,3,9,0,0
5997,1,0,2454,1,4,1,4,0,0,0
12487,1,0,1937,2,2,4,4,4,0,1
90994,1,2,724,4,4,5,4,1,12,1
109412,1,2,238,5,5,4,4,0,0,1
66044,1,0,1798,1,1,1,2,0,0,0
81386,1,2,1772,4,2,4,3,0,0,1
73799,1,0,1024,2,2,3,2,0,0,0
117197,1,2,2177,5,5,5,5,9,1,1
57930,0,2,1261,4,4,4,5,0,0,1
106203,1,1,2392,4,4,4,4,0,0,1
59843,0,0,1593,4,2,4,3,0,0,0
64208,1,2,3324,0,5,5,5,0,0,1
92529,1,1,1963,4,4,4,4,0,0,1
84447,1,2,2126,3,1,3,3,63,55,0
2983,1,0,1362,1,3,1,3,0,0,0
29203,1,0,2009,3,4,3,5,0,6,0
126036,1,2,2088,2,2,5,5,0,3,1
26241,1,0,674,3,3,5,5,0,0,1
4458,1,0,1879,1,2,1,4,12,16,0
123504,1,0,1578,5,5,5,3,11,15,1
120153,1,2,3341,4,3,4,5,0,0,1
34742,1,0,1931,4,1,4,4,0,0,1
68612,1,0,2860,1,1,1,3,0,0,0
74119,1,0,1664,2,2,2,3,0,0,0
96048,1,2,1922,4,4,4,4,119,133,1
23665,1,0,672,3,2,4,5,0,0,1
70544,1,2,2031,2,2,2,2,0,0,0
5035,1,0,2287,3,2,2,2,24,22,1
20935,1,2,1013,1,2,4,5,124,106,1
104479,1,2,741,3,3,5,4,0,2,1
13344,1,0,389,5,5,5,4,3,0,1
35031,1,0,2617,4,2,4,3,0,4,0
14519,1,0,2062,2,5,2,5,47,40,0
7601,1,1,1899,1,3,1,5,0,0,0
53430,0,0,2881,3,3,3,4,26,10,0
33182,1,0,1975,4,3,4,3,0,0,1
53498,0,2,1653,3,5,3,3,0,0,0
112438,1,2,2260,4,4,5,4,13,13,1
31014,1,0,2626,3,3,3,4,0,0,0
88791,1,2,2518,2,3,5,3,3,16,1
101204,1,2,2484,4,3,3,4,78,68,0
43575,0,0,833,1,1,1,2,0,0,0
82870,1,2,1434,3,3,3,4,0,0,0
97281,1,0,1717,4,4,4,3,0,1,1
47130,0,2,2093,2,2,2,4,9,29,0
122297,1,0,877,5,2,5,5,19,33,1
105327,1,1,2059,4,4,4,1,63,66,1
16843,1,0,1468,4,3,5,4,2,0,1
59025,0,2,2644,4,4,4,4,83,61,1
33767,1,0,244,4,5,5,1,0,0,0
71313,1,0,1190,2,1,3,2,0,1,1
24070,1,0,1943,4,3,5,5,11,4,1
83445,1,0,2845,3,3,3,4,30,65,0
78951,1,2,1007,1,4,4,2,0,8,1
128341,1,2,3405,5,5,4,5,0,4,1
35099,1,0,1856,4,2,4,4,0,0,0
67795,1,2,261,1,2,4,1,0,0,0
8204,1,0,2420,4,3,2,4,0,0,1
121345,1,2,2440,3,5,5,5,1,0,1
95928,1,2,2025,4,4,4,3,88,105,1
13618,1,0,1413,5,1,5,4,13,20,1
60386,0,0,2083,4,1,4,5,37,29,0
30023,1,0,2274,3,4,3,4,0,3,0
86817,1,1,1564,3,4,3,3,18,25,0
54591,0,2,1265,3,3,3,3,0,3,0
113521,1,2,1725,4,1,5,5,0,0,1
37925,1,2,2202,4,4,4,5,61,43,0
15786,1,0,1306,2,2,2,4,2,0,0
40816,0,0,2271,0,4,0,5,46,38,1
66229,1,2,2206,1,1,1,2,12,13,0
5260,1,0,208,5,5,4,2,0,0,1
69265,1,2,1546,2,2,3,2,0,0,0
59894,0,2,1479,4,3,4,5,0,3,1
24563,1,1,2139,3,1,3,1,0,0,0
33497,1,2,2395,4,2,4,1,6,4,0
59009,0,0,1824,4,2,4,5,0,0,1
95888,1,0,1239,4,4,4,2,88,50,1
26490,1,0,1793,4,3,4,5,0,0,1
55396,0,0,1755,3,3,3,3,0,0,0
52739,0,0,2130,3,3,3,1,0,0,0
98713,1,2,2153,5,2,4,4,0,0,1
16716,1,0,2063,2,3,2,5,24,33,0
90988,1,2,2090,4,5,5,4,0,1,1
37581,1,0,1592,4,1,4,4,0,14,1
18026,1,0,2375,2,2,2,4,4,0,0
51340,0,1,1548,3,2,3,3,0,0,0
62274,0,2,1708,5,4,5,5,0,0,1
63787,1,2,267,0,4,4,4,65,100,1
112742,1,2,1668,5,4,5,4,0,0,1
62337,0,2,2007,5,2,5,4,0,1,1
30125,1,0,2144,3,4,3,4,21,14,0
41065,0,0,1486,1,5,1,4,19,22,0
110011,1,2,3031,3,5,5,5,9,4,1
95948,1,2,2974,2,5,4,4,0,0,1
125115,1,2,1421,5,5,4,5,0,0,1
55334,0,0,1154,3,2,3,4,73,82,0
16533,1,0,2866,4,3,2,4,0,0,1
40191,0,2,2841,0,3,0,5,0,2,1
42625,0,0,2032,1,2,1,4,9,0,0
81297,1,2,2173,3,2,3,3,16,12,0
33782,1,0,865,4,2,4,3,0,0,0
112072,1,2,3182,3,2,5,4,2,0,1
35179,1,0,2086,4,3,4,4,10,7,0
29028,1,0,478,4,5,5,4,0,0,1
26448,1,0,2065,3,3,3,4,0,0,0
48935,0,0,2200,2,5,2,4,34,25,0
57073,0,0,1587,4,3,4,5,0,0,0
17349,1,0,608,5,2,4,4,23,2,1
81125,1,2,2635,3,4,1,3,3,0,0
91102,1,2,1581,1,4,4,4,0,0,1
115873,1,2,487,4,3,4,5,0,0,1
51040,0,0,1247,3,2,3,1,0,0,0
6633,1,0,1411,1,4,1,4,0,0,0
89205,1,0,1707,4,4,4,3,33,28,1
92928,1,2,2477,5,3,3,4,0,0,1
97509,1,2,2952,5,4,4,5,10,0,1
51681,0,0,2429,3,5,2,3,29,26,0
31740,1,0,381,3,5,5,5,0,0,0
28623,1,1,3432,3,2,3,5,46,22,0
102945,1,0,2176,4,2,4,4,17,12,0
23889,1,0,2117,3,3,3,3,21,74,0
68473,1,2,3372,1,1,1,4,20,16,0
12766,1,0,1774,2,1,2,4,0,9,0
7293,1,2,1349,1,5,4,3,0,0,1
121578,1,2,3122,1,2,5,5,0,0,1
92503,1,2,3364,5,2,4,4,5,5,1
80128,1,0,887,3,5,2,3,68,82,0
9947,1,0,1486,3,4,4,5,0,0,1
101770,1,0,3130,4,4,4,1,57,39,1
37054,1,0,1770,4,3,4,5,0,0,0
20046,1,1,2636,3,2,3,5,25,27,0
59516,0,0,1949,4,1,4,4,0,22,0
83271,1,2,449,3,5,4,3,26,17,0
34868,1,0,1656,4,4,4,4,0,18,0
124057,1,2,1822,4,3,5,5,0,0,1
37396,1,0,954,4,2,5,2,10,0,1
77203,1,0,1485,2,2,2,4,120,114,0
34033,1,0,2022,4,3,3,5,0,0,0
59998,0,1,1885,4,4,4,3,0,0,0
8971,1,2,386,1,2,4,4,0,0,1
115928,1,2,473,1,5,5,5,117,113,1
17964,1,0,1958,2,5,2,5,16,15,0
21070,1,0,2015,3,4,3,3,0,0,0
72212,1,2,2214,3,4,5,2,0,0,1
45354,0,2,2101,2,3,1,2,53,50,0
98609,1,2,2895,1,4,4,1,0,17,1
41634,0,2,2390,1,4,1,4,0,0,0
109114,1,2,3010,4,2,1,4,0,0,1
91357,1,2,3278,5,3,4,4,15,2,1
52397,0,2,1795,3,3,3,4,42,71,0
121366,1,2,2480,5,3,5,5,16,7,1
13702,1,0,2230,2,2,2,2,0,0,0
72960,1,1,1485,2,2,2,3,3,0,0
38217,1,0,399,4,2,3,4,0,0,0
38025,1,0,350,4,5,4,5,6,0,0
121619,1,2,1002,2,4,5,5,0,0,1
